Municipio,Latitud,Longitud,Activo,Fallecido,Recuperado,ultima_actualizacion
Leandro N. Alem,-34.496052283325604,-61.6416374677406,0.0,1.0,0.0,26/06/2020
Lezama,-35.861779188731106,-57.9394065246162,0.0,0.0,0.0,26/06/2020
Lincoln,-35.1203845829395,-61.805389377734606,0.0,0.0,0.0,26/06/2020
Lobería,-38.06840366017921,-58.6897124072938,0.0,0.0,3.0,26/06/2020
Lobos,-35.190621966646106,-59.15033574677749,2.0,0.0,6.0,26/06/2020
Lomas de Zamora,-34.7535893569163,-58.407867115140895,672.0,25.0,364.0,26/06/2020
Luján,-34.589702128267604,-59.16246130499189,75.0,3.0,58.0,26/06/2020
Magdalena,-35.1867198897735,-57.625009530655404,1.0,0.0,0.0,26/06/2020
Maipú,-36.8880254062215,-57.590328462526905,0.0,0.0,0.0,26/06/2020
Malvinas Argentinas,-34.4843460527078,-58.7225401380692,240.0,13.0,79.0,26/06/2020
Mar Chiquita,-37.50065147521771,-57.6326543329287,0.0,0.0,1.0,26/06/2020
Marcos Paz,-34.8218757021866,-58.8349233605435,68.0,4.0,25.0,26/06/2020
Mercedes,-34.697009242263796,-59.4320923153337,16.0,0.0,5.0,26/06/2020
Merlo,-34.710666511317896,-58.743833801274796,455.0,20.0,234.0,26/06/2020
Monte Hermoso,-38.9678323793106,-61.273047797592795,0.0,0.0,0.0,26/06/2020
Monte,-35.4930329242716,-58.7556636141669,9.0,0.0,1.0,26/06/2020
Moreno,-34.5955552435765,-58.802982865735,404.0,18.0,224.0,26/06/2020
Morón,-34.6462822429202,-58.61948932354299,264.0,12.0,152.0,26/06/2020
Navarro,-35.0384409686152,-59.413401210964295,1.0,0.0,0.0,26/06/2020
Necochea,-38.173759735739004,-59.1108537462504,28.0,0.0,8.0,26/06/2020
Olavarría,-36.856808791240795,-60.716539599685895,79.0,2.0,60.0,26/06/2020
Patagones,-40.1794272482489,-62.8606086877045,0.0,1.0,0.0,26/06/2020
Pehuajó,-35.8949468421481,-61.9878524117814,0.0,0.0,0.0,26/06/2020
Pellegrini,-36.1407776851211,-63.227332887357704,0.0,0.0,0.0,26/06/2020
Pergamino,-33.863915829966395,-60.581447361392,0.0,0.0,1.0,26/06/2020
Pila,-36.2168681841365,-58.391851368456294,0.0,0.0,0.0,26/06/2020
Pilar,-34.439472168673,-58.8983607321771,227.0,8.0,139.0,26/06/2020
Pinamar,-37.1084927495227,-56.8688084578866,2.0,0.0,0.0,26/06/2020
Presidente Perón,-34.938938008364204,-58.4115343571375,90.0,0.0,33.0,26/06/2020
Puán,-38.0742567754881,-63.0581665630015,0.0,0.0,0.0,26/06/2020
Punta Indio,-35.455963193982,-57.450835252175,1.0,0.0,0.0,26/06/2020
Quilmes,-34.737981049426,-58.2730072481717,1037.0,27.0,754.0,26/06/2020
Ramallo,-33.588819410449,-60.037226677471104,2.0,0.0,0.0,26/06/2020
Rauch,-36.6012227560864,-58.9169997290374,0.0,0.0,0.0,26/06/2020
Rivadavia,-35.578878615468504,-63.0210998159398,0.0,0.0,0.0,26/06/2020
Rojas,-34.1955923641363,-60.722961498113,0.0,0.0,0.0,26/06/2020
Roque Pérez,-35.5183964239434,-59.232405073716095,0.0,0.0,0.0,26/06/2020
Saavedra,-37.723069856955206,-62.4224563053055,0.0,0.0,0.0,26/06/2020
Saladillo,-35.6725284604106,-59.6582783378295,2.0,0.0,6.0,26/06/2020
Salliqueló,-36.692921562592204,-63.0198305755983,0.0,0.0,0.0,26/06/2020
Salto,-34.24631936348,-60.3015244138341,22.0,0.0,20.0,26/06/2020
San Andrés de Giles,-34.433619053364204,-59.48023965380429,2.0,1.0,4.0,26/06/2020
San Antonio de Areco,-34.209249633190396,-59.5682807612893,4.0,1.0,15.0,26/06/2020
San Cayetano,-38.4020312327854,-59.6297996198462,0.0,0.0,1.0,26/06/2020
San Fernando,-34.160473672283004,-58.559288720158996,116.0,8.0,60.0,26/06/2020
San Isidro,-34.4862970911441,-58.53681207566421,280.0,13.0,165.0,26/06/2020
San Miguel,-34.5545834364144,-58.70597840002029,273.0,9.0,119.0,26/06/2020
San Nicolás,-33.4698060658351,-60.29235630884279,3.0,1.0,8.0,26/06/2020
San Pedro,-33.7995315615687,-59.818966629613,29.0,0.0,6.0,26/06/2020
San Vicente,-35.0774617373411,-58.4186059563996,48.0,8.0,67.0,26/06/2020
Suipacha,-34.7360300109897,-59.7123283450086,1.0,0.0,0.0,26/06/2020
Tandil,-37.291890362534296,-59.2381836227991,1.0,0.0,3.0,26/06/2020
