Fecha,Beta,Gamma,S,I,R,Confirmados,I acum
2020-05-01,0.2,0.0714,99999.0,1.0,0.0,1.0,1.0
2020-05-02,0.2,0.0714,99998.800002,1.1285980000000002,0.0714,,1.1999980000000001
2020-05-03,0.2,0.0714,99998.57428510863,1.2737329941693145,0.15198189720000002,2.0,1.4257148913693145
2020-05-04,0.2,0.0714,99998.31954214176,1.4375314252592934,0.2429264329836891,,1.6804578582429825
2020-05-05,0.2,0.0714,99998.03204068812,1.6223931351256786,0.3455661767472027,,1.9679593118728813
2020-05-06,0.2,0.0714,99997.70756844671,1.8310265066954852,0.46140504659517617,,2.2924315532906614
2020-05-07,0.2,0.0714,99997.34137154037,2.066488120450647,0.5921403391732338,3.0,2.6586284596238805
2020-05-08,0.2,0.0714,99996.92808490433,2.332227504692343,0.73968759097341,,3.0719150956657533
2020-05-09,0.2,0.0714,99996.4616537322,2.632137632986022,0.9062086348084433,4.0,3.5383462677944655
2020-05-10,0.2,0.0714,99995.93524483244,2.9706119057592844,1.0941432618036453,5.0,4.06475516756293
2020-05-11,0.2,0.0714,99995.3411466009,3.352608447219739,1.3062449518748582,,4.658853399094597
2020-05-12,0.2,0.0714,99994.67065615008,3.7837226549096776,1.5456211950063476,,5.329343849916025
2020-05-13,0.2,0.0714,99993.91395194862,4.27026905881294,1.8157789925668988,6.0,6.086048051379839
2020-05-14,0.2,0.0714,99993.05995011498,4.819373681650915,2.1206762033661426,7.0,6.940049885017057
2020-05-15,0.2,0.0714,99992.09614227204,5.439078243723692,2.464779484236018,10.0,7.903857727959711
2020-05-16,0.2,0.0714,99991.00841260269,6.13845772646534,2.8531296708378897,15.0,8.99158739730323
2020-05-17,0.2,0.0714,99989.78083144636,6.927753001130519,3.291415552507515,20.0,10.219168553638035
2020-05-18,0.2,0.0714,99988.3954224379,7.81852044532467,3.786057116788234,25.0,11.604577562112905
2020-05-19,0.2,0.0714,99986.83189981009,8.823800713339566,4.344299476584416,30.0,13.168100189923981
2020-05-20,0.2,0.0714,99985.0673720528,9.958309099691336,4.9743188475168605,,14.932627947208196
2020-05-21,0.2,0.0714,99983.0760076403,11.238650242462105,5.685342117234822,,16.92399235969693
2020-05-22,0.2,0.0714,99980.82865799747,12.683560257981057,6.487781744546616,,19.171342002527673
2020-05-23,0.2,0.0714,99978.29243226761,14.31417978541439,7.393387946966464,,21.707567732380856
2020-05-24,0.2,0.0714,99975.43021776258,16.154361853764232,8.415420383645051,100.0,24.569782237409285
