Fecha,R0,Alpha,Beta,Gamma,Importados,S,E,I,R,Ia,Confirmados
2020-03-03,2.1721839603210835,0.333333333,0.15509393476692537,0.0714,1,44000000.0,0.0,1.0,0.0,1.0,1
2020-03-04,2.5947306541121176,0.333333333,0.1852637687036052,0.0714,0,43999999.84490607,0.15509393124206328,0.9286,0.0714,1.0,1
2020-03-05,2.814904672171384,0.333333333,0.20098419359303685,0.0714,0,43999999.67287014,0.2754318859213338,0.9139959370289898,0.13770204000000003,1.0516979770289898,1
2020-03-06,2.800461177311711,0.333333333,0.19995292806005618,0.0714,2,43999997.48917141,0.3673199893329746,2.9405472556737537,0.2029613499038699,3.143508605577624,3
2020-03-07,2.743064211048806,0.333333333,0.19585478466888476,0.0714,6,43999990.90120041,0.8328509848753837,8.853032177940532,0.41291642395897593,9.265948601899508,9
2020-03-08,2.6656393816717614,0.333333333,0.19032665185136377,0.0714,3,43999986.167292066,2.289142335928406,11.498542675116422,1.04502292146393,12.543565596580352,12
2020-03-09,2.6450986068274616,0.333333333,0.18886004052748076,0.0714,5,43999978.97881356,3.7145733960130016,16.44059417265953,1.8660188684672425,18.306613041126774,17
2020-03-10,2.585488725872104,0.333333333,0.18460389502726823,0.0714,2,43999973.873843566,5.581352255138672,18.504926879497784,3.039877292395133,21.544804171892917,19
2020-03-11,2.487359477196872,0.333333333,0.17759746667185666,0.0714,2,43999968.45776366,7.136981411735944,21.04412585015408,4.361129071591275,25.405254921745357,21
2020-03-12,2.4223421238349094,0.333333333,0.17295522764181254,0.0714,7,43999957.72038238,8.495368891577867,28.92056906598607,5.863679657292277,34.784248723278345,31
2020-03-13,2.344320726330848,0.333333333,0.16738449986002257,0.0714,2,43999950.718422726,10.665538915913542,31.68743006236883,7.928608288603682,39.61603835097251,34
2020-03-14,2.278977239786119,0.333333333,0.16271897492072893,0.0714,10,43999935.41444287,12.41433913814936,42.98012719099837,10.191090795056816,53.17121798605518,45
2020-03-15,2.2115425969137856,0.333333333,0.15790414141964432,0.0714,8,43999920.42076908,15.269899883294507,52.04945915147275,13.259871876494099,65.30933102796685,56
2020-03-16,2.143810131724291,0.333333333,0.15306804340511437,0.0714,8,43999904.20195612,18.398746220059177,61.42309439073247,16.976203259909255,78.39929765064173,65
2020-03-17,2.070979717194824,0.333333333,0.14786795180771042,0.0714,11,43999883.80006,21.667726945426914,74.17040085178765,21.361812199407552,95.5322130511952,78
2020-03-18,2.001476587022159,0.333333333,0.14290542831338218,0.0714,13,43999859.83265855,25.412552750545952,89.09720987222306,26.65757882022519,115.75478869244824,97
2020-03-19,1.9371475617954452,0.333333333,0.1383123359121948,0.0714,20,43999827.10021711,29.674143283990865,111.20651999572414,33.01911960510192,144.22563960082607,128
2020-03-20,1.8837941120670871,0.333333333,0.13450289960159004,0.0714,22,43999789.71903398,35.16394533100043,135.15775555280166,40.959265132796624,176.11702068559828,158
2020-03-21,1.8413497804358285,0.333333333,0.13147237432311817,0.0714,45,43999726.53999672,41.62166749303794,182.22880690494378,50.60952887926666,232.83833578421044,225
2020-03-22,1.8013786294601544,0.333333333,0.12861843414345503,0.0714,22,43999680.58206959,51.70570547555165,205.09155924240287,63.62066569227965,268.7122249346825,265
2020-03-23,1.7568024923326089,0.333333333,0.12543569795254828,0.0714,17,43999637.20367548,60.84886444351198,224.68325705377728,78.26420302218722,302.9474600759645,301
2020-03-24,1.7267259564697381,0.333333333,0.12328823329193932,0.0714,41,43999568.020568356,68.74901676901243,269.9238272943586,94.30658757582691,364.23041487018554,385
2020-03-25,1.7035103038913386,0.333333333,0.12163063569784159,0.0714,3,43999531.742412046,79.11083418136099,276.5676049256292,113.57914884464412,390.14675377027334,502
2020-03-26,1.6802474457045968,0.333333333,0.11996966762330823,0.0714,37,43999461.10361672,86.3793514703917,320.1909559680227,133.32607583633404,453.51703180435675,589
2020-03-27,1.6544753136618389,0.333333333,0.1181295373954553,0.0714,100,43999322.69081009,95.99904097232847,426.12243883991,156.18771009245086,582.3101489323608,690
2020-03-28,1.6278177121143784,0.333333333,0.11622618464496663,0.0714,21,43999251.353829704,114.33634106816041,448.69697699885023,186.61285222562043,635.3098292244706,745
2020-03-29,1.5994906839543097,0.333333333,0.11420363483433772,0.0714,34,43999165.204245,128.37381212184064,488.772126492407,218.64981638333833,707.4219428757453,820
2020-03-30,1.5661940934660215,0.333333333,0.11182625827347394,0.0714,47,43999062.385589,141.4011974518736,543.665067325338,253.54814621489618,797.2132135402342,966
2020-03-31,1.5447824515842354,0.333333333,0.11029746704311442,0.0714,40,43998961.590660304,155.06239371273625,591.981113955133,292.3658320219253,884.3469459770583,1054
2020-04-01,1.525762542688224,0.333333333,0.1089394455479392,0.0714,51,43998845.29795523,168.66763426450896,652.4011269379611,334.6332835583218,987.0344104962828,1133
2020-04-02,1.5055694231259185,0.333333333,0.10749765681119058,0.0714,42,43998732.227332525,183.51571226865894,704.0422311732044,381.21472402169223,1085.2569551948966,1265
2020-04-03,1.4995458256827965,0.333333333,0.10706757195375168,0.0714,34,43998622.5463091,198.0248316665284,748.9455198958186,431.483339327459,1180.4288592232776,1353
2020-04-04,1.492777802623739,0.333333333,0.10658433510733498,0.0714,18,43998524.36068204,212.20218156961954,779.4790869314251,484.95804944802046,1264.4371363794455,1451
2020-04-05,1.482058141374317,0.333333333,0.10581895129412625,0.0714,21,43998420.28280934,224.5459938216566,815.5583405769938,540.6128562549242,1356.171196831918,1554
2020-04-06,1.4705856223543727,0.333333333,0.10499981343610222,0.0714,23,43998310.983941026,235.99619760283122,855.1761395921667,598.8437217721215,1454.0198613642883,1628
2020-04-07,1.4578882880612032,0.333333333,0.10409322376756991,0.0714,20,43998201.19357323,247.12116627478235,892.7819623475643,659.9032981390022,1552.6852604865667,1715
2020-04-08,1.4478453162978997,0.333333333,0.10337615558367004,0.0714,29,43998079.2643001,257.67671739759,940.4110522451687,723.6479302506183,1664.058982495787,1795
