Fecha,R0,Alpha,Beta,Gamma,S,E,I,R,Ia,Confirmados
2020-02-29,12.613566690627097,0.333333333,0.9006086617107748,0.0714,44000000.0,1.0,0.0,0.0,0.0,0
2020-03-01,12.613566690627097,0.333333333,0.9006086617107748,0.0714,44000000.0,0.666666667,0.333333333,0.0,0.333333333,0
2020-03-02,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999999.699797116,0.7446473295513466,0.5317555551349111,0.0237999999762,0.5555555551111111,0
2020-03-03,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999999.220893465,0.975335206103006,0.7420039847671782,0.06176734661283266,0.8037713313800109,1
2020-03-04,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999998.55263826,1.318478674558307,1.0141366352973586,0.11474643112520919,1.1288830664225677,1
2020-03-05,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999997.63929805,1.7923259979523336,1.38122017061707,0.1871557868854406,1.5683759575025105,1
2020-03-06,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999996.39535925,2.438822804279612,1.8800430491550137,0.2857749070674994,2.1658179562225133,3
2020-03-07,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999994.70217628,3.319064841447042,2.5587489093922753,0.42000998077716745,2.9787588901694426,9
2020-03-08,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999992.397745006,4.517141170338202,3.4824091833043256,0.602704652907776,4.085113836212102,12
2020-03-09,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999989.26145742,6.1477150313189135,4.73947888955675,0.8513486685957048,5.590827558152455,17
2020-03-10,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999984.99304222,8.366891887162193,6.450318438566131,1.1897474613100567,7.640065899876188,19
2020-03-11,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999979.183830574,11.387139575429707,8.778729661650944,1.6503001978236784,10.429029859474623,21
2020-03-12,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999971.277632475,15.49762448556077,11.947641551823255,2.2771014956655558,14.224743047488811,31
2020-03-13,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999960.51748648,21.091895652148253,16.260454768377457,3.130163102465736,19.390617870843194,34
2020-03-14,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999945.87318653,28.70556372919831,22.13009017493409,4.291159572927887,26.421249747861978,45
2020-03-15,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999925.9426476,39.067581423723375,30.11852296994138,5.871248011418181,35.98977098135956,56
2020-03-16,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999898.81766712,53.17003477327168,40.990587558106164,8.021710551471996,49.01229810957816,65
2020-03-17,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999861.90123004,72.36312694811592,55.78720451315794,10.948438503120776,66.73564301627871,78
2020-03-18,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999811.658866644,98.48444804958444,75.92504040283606,14.931644905360255,90.85668530819632,97
2020-03-19,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999743.28025881,134.03490656280746,103.3321418351069,20.35269279012275,123.68483462522964,128
2020-03-20,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999650.21869844,182.4181647903691,140.63252905100444,27.730607717149383,168.36313676815382,158
2020-03-21,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999523.5643093,248.266499064048,191.3974213460797,37.7717702913911,229.16919163747082,225
2020-03-22,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999489.83588328,199.23942547323028,260.48714506723013,51.43754617550119,311.92469124273134,265
2020-03-23,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999443.932418056,178.729748943665,308.30150466742685,70.03632833330143,378.33783300072827,301
2020-03-24,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999389.60311119,173.48247288469582,345.86536015581765,92.04905576655571,437.91441592237334,385
2020-03-25,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999328.65433359,176.60375958193157,378.9980643444301,116.7438424816811,495.7419068261112,502
2020-03-26,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999261.86696187,184.52321150581025,410.8055223520137,143.80430427587342,554.6098266278872,589
2020-03-27,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999189.47454882,195.40788745089407,442.9817451631756,173.1358185718072,616.1175637349828,690
2020-03-28,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999111.41213024,208.334343612559,476.4888109770203,204.76471517645794,681.2535261534782,745
2020-03-29,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999027.44520755,222.85648516215065,511.9122910080026,238.78601628021718,750.6983072882198,820
2020-03-30,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998937.23609681,238.78010092670007,549.647248409796,275.33655385818855,824.9838022679846,966
2020-03-31,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998840.377500795,256.0453300426627,589.9958017693099,314.581367394648,904.5771691639579,1054
2020-04-01,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998736.40888856,274.66549901438066,633.218544785187,356.70706764097673,989.9256124261638,1133
2020-04-02,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998624.823813826,294.6954075062321,679.5619069340963,401.9188717386391,1081.4807786727354,1265
2020-04-03,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998505.07241202,316.21500690334943,729.2729891828474,450.43959189373356,1179.712581076581,1353
2020-04-04,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998376.561283186,339.32113354050637,782.6078999509036,502.5096833213889,1285.1175832722924,1451
2020-04-05,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998238.65190603,364.12346629627905,839.8367402948043,558.3878873778834,1398.2246276726878,1554
