Fecha,R0,Beta,Gamma,S,I,R,Ia,Confirmados
2020-03-03,8.367915227751093,0.5974691472614281,0.0714,44000000.0,1.0,0.0,1.0,1
2020-03-04,8.367915227751093,0.5974691472614281,0.0714,43999999.402530864,1.5260691336825842,0.0714,1.5974691336825841,1
2020-03-05,8.367915227751093,0.5974691472614281,0.0714,43999998.490751676,2.328886988397805,0.18036133614493655,2.5092483245427415,1
2020-03-06,8.367915227751093,0.5974691472614281,0.0714,43999997.09931363,3.5540425011010264,0.3466438671165398,3.900686368217566,3
2020-03-07,8.367915227751093,0.5974691472614281,0.0714,43999994.975883074,5.423714420739818,0.6004025016951531,6.02411692243497,9
2020-03-08,8.367915227751093,0.5974691472614281,0.0714,43999991.73538149,8.276962797385135,0.9876557113359761,9.26461850872111,12
2020-03-09,8.367915227751093,0.5974691472614281,0.0714,43999986.79015263,12.631216516854927,1.5786308550692747,14.209847371924202,17
2020-03-10,3.402728229676366,0.24295479559889255,0.0714,43999979.24339291,19.276107381516354,2.4804997143727165,21.75660709588907,19
2020-03-11,3.402728229676366,0.24295479559889255,0.0714,43999974.56017249,22.583013727589364,3.8568137814129844,26.43982750900235,21
2020-03-12,3.402728229676366,0.24295479559889255,0.0714,43999969.073524304,26.457234734675772,5.469240961562865,31.926475696238636,31
2020-03-13,3.402728229676366,0.24295479559889255,0.0714,43999962.64561691,30.996095567591052,7.358287521618715,38.35438308920977,34
2020-03-14,3.402728229676366,0.24295479559889255,0.0714,43999955.11497341,36.31361784265672,9.571408745144716,45.885026587801434,45
2020-03-15,3.402728229676366,0.24295479559889255,0.0714,43999946.29241501,42.54338392857045,12.164201059110406,54.70758498768085,56
2020-03-16,3.402728229676366,0.24295479559889255,0.0714,43999935.956308715,49.84189261106466,15.201798671610335,65.043691282675,65
2020-03-17,4.789340202609231,0.3419588904662991,0.0714,43999923.84699979,58.39249040941557,18.760509804040353,77.15300021345593,78
2020-03-18,4.789340202609231,0.3419588904662991,0.0714,43999903.879203565,74.1910628130135,22.929733619272625,97.12079643228613,97
2020-03-19,4.789340202609231,0.3419588904662991,0.0714,43999878.50896604,94.26405845060302,28.22697550412179,122.4910339547248,128
2020-03-20,4.789340202609231,0.3419588904662991,0.0714,43999846.27462294,119.76794777882768,34.957429277494846,154.72537705632251,158
2020-03-21,4.789340202609231,0.3419588904662991,0.0714,43999805.31905242,152.1720868231059,43.508860748903146,195.68094757200905,225
2020-03-22,4.789340202609231,0.3419588904662991,0.0714,43999753.282685876,193.3433663718484,54.37394774807291,247.7173141199213,265
2020-03-23,4.789340202609231,0.3419588904662991,0.0714,43999687.16757506,245.65376083030964,68.17866410702288,313.8324249373325,301
2020-03-24,2.9443911692080516,0.2102295294814549,0.0714,43999603.16468673,312.11697063994126,85.71834263030699,397.83531327024826,385
2020-03-25,2.9443911692080516,0.2102295294814549,0.0714,43999537.54907613,355.44742953427885,108.0034943339988,463.45092386827764,502
2020-03-26,2.9443911692080516,0.2102295294814549,0.0714,43999462.82431735,404.7932418495862,133.38244080274632,538.1756826523325,589
2020-03-27,2.9443911692080516,0.2102295294814549,0.0714,43999377.72586545,460.9894562783694,162.28467827080678,623.2741345491762,690
2020-03-28,2.9443911692080516,0.2102295294814549,0.0714,43999280.81364178,524.9870327772115,195.19932544908235,720.1863582262939,745
2020-03-29,2.9443911692080516,0.2102295294814549,0.0714,43999170.44767138,597.8689290359575,232.68339958937526,830.5523286253328,820
2020-03-30,2.9443911692080516,0.2102295294814549,0.0714,43999044.76034028,680.8684186030175,275.37124112254264,956.2396597255602,966
2020-03-31,1.4737086099465804,0.10522279475018585,0.0714,43998901.62480379,775.3899500044508,323.9852462107981,1099.375196215249,1054
2020-04-01,1.4737086099465804,0.10522279475018585,0.0714,43998820.03814479,801.6137665759821,379.3480886411159,1180.961855217098,1133
2020-04-02,1.4737086099465804,0.10522279475018585,0.0714,43998735.69236787,828.7243205668841,436.583311574641,1265.3076321415251,1265
2020-04-03,1.4737086099465804,0.10522279475018585,0.0714,43998648.49418641,856.751585536475,495.75422806311656,1352.5058135995914,1353
2020-04-04,1.4737086099465804,0.10522279475018585,0.0714,43998558.34716126,885.7265474723184,556.9262912704208,1442.6528387427393,1451
2020-04-05,1.4737086099465804,0.10522279475018585,0.0714,43998465.15159431,915.6812389364799,620.1671667599444,1535.8484056964244,1554
2020-04-06,1.4737086099465804,0.10522279475018585,0.0714,43998368.80441843,946.6487743599324,685.5468072200091,1632.1955815799415,1628
2020-04-07,1.3096186040366746,0.09350676832821858,0.0714,43998269.199083775,978.6633865234769,753.1375297093083,1731.8009162327853,1715
2020-04-08,1.3096186040366746,0.09350676832821858,0.0714,43998177.69103504,1000.294869463464,823.0140955070846,1823.3089649705485,1795
2020-04-09,1.3096186040366746,0.09350676832821858,0.0714,43998084.160570376,1022.4042804481005,894.4351491867759,1916.8394296348765,1894
2020-04-10,1.3096186040366746,0.09350676832821858,0.0714,43997988.56301503,1045.0021701695948,967.4348148107703,2012.4369849803652,1975
2020-04-11,1.3096186040366746,0.09350676832821858,0.0714,43997890.8527084,1068.0993218474655,1042.0479697608794,2110.147291608345,2142
2020-04-12,1.3096186040366746,0.09350676832821858,0.0714,43997790.98298233,1091.7067563358405,1118.3102613407884,2210.0170176766287,2208
2020-04-13,1.3096186040366746,0.09350676832821858,0.0714,43997688.90613892,1115.8357373421572,1196.2581237431675,2312.0938610853245,2277
2020-04-14,1.2473346637364897,0.08905969499078537,0.0714,43997584.573427856,1140.4977767596583,1275.9287953893975,2416.4265721490556,2443
2020-04-15,1.2473346637364897,0.08905969499078537,0.0714,43997483.00662195,1160.633041403029,1357.360336650037,2517.993378053066,2571
2020-04-16,1.2473346637364897,0.08905969499078537,0.0714,43997379.646912605,1181.1235515933315,1440.2295358062133,2621.353087399545,2669
2020-04-17,1.2473346637364897,0.08905969499078537,0.0714,43997274.462676205,1201.9755664098984,1524.5617573899772,2726.5373237998756,2758
2020-04-18,1.2473346637364897,0.08905969499078537,0.0714,43997167.42173226,1223.1954549079742,1610.3828128316438,2833.5782677396182,2839
2020-04-19,1.2473346637364897,0.08905969499078537,0.0714,43997058.49133365,1244.7896980402593,1697.7189683120732,2942.5086663523325,2941
2020-04-20,1.2473346637364897,0.08905969499078537,0.0714,43996947.63815664,1266.764890611643,1786.5969527521477,3053.3618433637907,3031
2020-04-21,1.4428113950300487,0.10301673360514549,0.0714,43996834.82829079,1289.1277432676832,1877.043965941819,3166.1717092095023,3144
2020-04-22,1.4428113950300487,0.10301673360514549,0.0714,43996702.03611769,1329.8761955034724,1969.0876868111316,3298.9638823146042,3288
2020-04-23,1.4428113950300487,0.10301673360514549,0.0714,43996565.046887666,1371.9122651682135,2064.0408471700794,3435.953112338293,3435
2020-04-24,1.4428113950300487,0.10301673360514549,0.0714,43996423.72800375,1415.2766133545626,2161.9953829030896,3577.271996257652,3607
2020-04-25,1.4428113950300487,0.10301673360514549,0.0714,43996277.94268344,1460.0111834680565,2263.0461330966054,3723.057316564662,3780
2020-04-26,1.4428113950300487,0.10301673360514549,0.0714,43996127.54982685,1506.1592415573432,2367.2909315962247,3873.450173153568,3892
2020-04-27,1.4428113950300487,0.10301673360514549,0.0714,43995972.403880656,1553.765417905804,2474.830701443419,4028.596119349223,4003
2020-04-28,1.0424219175813854,0.07442892491531092,0.0714,43995812.3546978,1602.8757499235621,2585.7695522818935,4188.645302205456,4127
2020-04-29,1.0424219175813854,0.07442892491531092,0.0714,43995693.06573593,1607.7193832480011,2700.214880826436,4307.934264074437,4285
2020-04-30,1.0424219175813854,0.07442892491531092,0.0714,43995573.41662637,1612.57732884117,2815.0060447903434,4427.5833736315135,4427
2020-05-01,1.0424219175813854,0.07442892491531092,0.0714,43995453.40630692,1617.449627009521,2930.144066069603,4547.593693079124,4531
2020-05-02,1.0424219175813854,0.07442892491531092,0.0714,43995333.0337124,1622.3363181608067,3045.6299694380828,4667.96628759889,4679
2020-05-03,1.0424219175813854,0.07442892491531092,0.0714,43995212.29777464,1627.2374428042574,3161.4647825547645,4788.702225359022,4782
2020-05-04,1.0424219175813854,0.07442892491531092,0.0714,43995091.19742248,1632.1530415507584,3277.6495359709884,4909.802577521747,4886
2020-05-05,1.6126021948724503,0.11513979671389296,0.0714,43994969.731581755,1637.0831551130273,3394.1852631377124,5031.26841825074,5020
2020-05-06,1.6126021948724503,0.11513979671389296,0.0714,43994781.25971373,1708.6672858628185,3511.0730004127827,5219.740286275601,5208
2020-05-07,1.6126021948724503,0.11513979671389296,0.0714,43994584.54744862,1783.3807067632665,3633.0718446233877,5416.452551386654,5371
2020-05-08,1.6126021948724503,0.11513979671389296,0.0714,43994379.234633945,1861.3601389767696,3760.405227086285,5621.765366063055,5611
2020-05-09,1.6126021948724503,0.11513979671389296,0.0714,43994164.94538861,1942.7482703903806,3893.3063410092263,5836.054611399607,5776
2020-05-10,1.6126021948724503,0.11513979671389296,0.0714,43993941.287417084,2027.6940154112815,4032.0185675150997,6059.712582926381,6034
2020-05-11,1.6126021948724503,0.11513979671389296,0.0714,43993707.85129377,2116.3527860201193,4176.795920215465,6293.1487062355845,6278
2020-05-12,1.7549400001261732,0.12530271600900877,0.0714,43993464.209716305,2208.886774565235,4327.903509137302,6536.790283702537,6563
2020-05-13,1.7549400001261732,0.12530271600900877,0.0714,43993187.47132341,2327.9106517619302,4485.618024841259,6813.5286766031895,6878
2020-05-14,1.7549400001261732,0.12530271600900877,0.0714,43992895.82296571,2453.3461889234773,4651.830845377061,7105.177034300539,7133
2020-05-15,1.7549400001261732,0.12530271600900877,0.0714,43992588.46166605,2585.5385707007376,4826.999763266198,7412.538333966935,7478
2020-05-16,1.7549400001261732,0.12530271600900877,0.0714,43992264.54123982,2724.85154298276,5011.60721721423,7736.458760196991,7805
2020-05-17,1.7549400001261732,0.12530271600900877,0.0714,43991923.169974156,2871.668408482129,5206.161617383199,8077.830025865328,8068
2020-05-18,1.7549400001261732,0.12530271600900877,0.0714,43991563.40818283,3026.3930754458247,5411.198741748823,8437.591817194647,8371
2020-05-19,2.26276202024805,0.16156120824571077,0.0714,43991184.265630394,3189.4511622958526,5627.283207335655,8816.734369631507,8809
2020-05-20,2.26276202024805,0.16156120824571077,0.0714,43990669.077301264,3476.9126784357086,5855.010020323579,9331.922698759288,9283
2020-05-21,,,,43990107.4622257,3790.2761887579263,6103.261585563889,9893.537774321816,9931
